1,2175249,3
1,1655035,2
1,1655035,4
1,260195,5
1,260195,5
1,260195,5
1,260195,5
1,260195,3
1,1899848,1
1,1899848,1
1,1899848,5
1,1899848,5
1,2119112,5
2,1433150,3
2,1433150,5
2,1433150,5
2,1433150,5
2,1433150,5
2,1433150,5
2,1433150,5
2,15350,2
2,15350,2
2,15350,2
2,2119112,4
2,686042,5
2,686042,5
2,686042,5
2,686042,5
2,686042,5
2,686042,4
2,3944184,2
1,3944184,5
2,686042,4
2,686042,3
2,38343,3
2,2712544,2
2,581498,2
2,581498,4
2,2271375,3
1,1930439,2
2,1473969,1
2,2391213,2
2,2391213,4
2,2391214,2
2,1639726,2
2,1586188,2
2,2817059,3
2,4051294,3
2,221907,2
2,170917,2
2,1259764,1
2,3640746,3
2,2840040,2
2,196425,5
1,1655035,5
1,1655035,5
